hora,AL30,AL30D,mep
10:37,84280.0,55.18,1527.36
11:17,84470.0,55.27,1528.32
11:57,84520.0,55.36,1526.73
12:41,84510.0,55.39,1525.73
13:04,84540.0,55.32,1528.2
13:48,84610.0,55.36,1528.36
14:15,84580.0,55.36,1527.82
14:49,84500.0,55.29,1528.31
15:16,84480.0,55.26,1528.77
16:02,84410.0,55.15,1530.55
16:32,84360.0,55.07,1531.87
16:52,84460.0,55.07,1533.68
10:48,84790.0,55.11,1538.56
11:27,85080.0,55.21,1541.03
12:11,84980.0,55.23,1538.66
12:57,84930.0,55.24,1537.47
13:47,84910.0,55.25,1536.83
14:18,84880.0,55.21,1537.4
14:52,85080.0,55.34,1537.41
15:30,84980.0,55.25,1538.1
