hora,al30,al30d,mep
11:27,85280.0,60.98,1398.491308625779
11:28,85340.0,61.06,1397.641663937111
11:29,85340.0,61.03,1398.3286908077994
11:30,85310.0,61.02,1398.066207800721
11:31,85300.0,61.0,1398.360655737705
11:32,85330.0,61.02,1398.3939691904293
11:33,85320.0,61.02,1398.230088495575
11:34,85320.0,61.02,1398.230088495575
11:35,85300.0,61.02,1397.9023271058668
11:36,85320.0,61.02,1398.230088495575
11:37,85340.0,61.0,1399.016393442623
11:38,85350.0,61.02,1398.7217305801375
11:39,85360.0,61.02,1398.8856112749918
11:40,85370.0,61.0,1399.5081967213114
11:41,85390.0,61.03,1399.1479600196624
11:42,85390.0,61.0,1399.8360655737704
11:43,85380.0,60.98,1400.1311905542802
11:44,85380.0,60.99,1399.9016232169208
11:45,85400.0,61.01,1399.7705294214063
11:46,85400.0,61.0,1400.0
